Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units","Bulk GTIN"
Albany,Weekly,"2021-01-24 00:00:00",Conventional,0.920000000,195366.56,9431.34,155635.75,55.13,24875.84,22183.00,1389.51,1303.33,5368.50
Albany,Weekly,"2021-01-17 00:00:00",Conventional,1.230000000,154882.52,7332.18,112080.95,37.59,28240.27,23958.98,1147.96,3133.33,7191.53
Albany,Weekly,"2021-01-10 00:00:00",Conventional,1.200000000,156964.48,7668.53,112416.37,33.00,31279.04,27447.12,918.59,2913.33,5567.54
Albany,Weekly,"2021-01-04 00:00:00",Conventional,0.850000000,183736.86,7960.17,149597.06,84.41,20523.93,16700.07,1037.19,2786.67,5571.29
Atlanta,Weekly,"2021-01-24 00:00:00",Conventional,0.800000000,885676.32,346275.38,39111.46,50.54,208042.37,205987.30,1991.74,63.33,292196.57
Atlanta,Weekly,"2021-01-17 00:00:00",Conventional,0.810000000,910589.42,353365.17,34122.48,41.86,211875.84,208563.89,3288.62,23.33,311184.07
Atlanta,Weekly,"2021-01-10 00:00:00",Conventional,0.810000000,891750.56,350203.19,44200.96,31.40,184598.46,180392.14,4169.65,36.67,312716.55
Atlanta,Weekly,"2021-01-04 00:00:00",Conventional,0.770000000,863924.39,339750.67,50361.11,90.12,174050.18,171857.45,2152.73,40.00,299672.31
Baltimore/Washington,Weekly,"2021-01-24 00:00:00",Conventional,1.070000000,1199319.36,248340.88,318964.97,4845.39,458234.21,369673.57,67997.31,20563.33,168933.91
Baltimore/Washington,Weekly,"2021-01-17 00:00:00",Conventional,1.070000000,1215946.65,284623.73,366965.85,3793.00,456325.24,347758.51,89343.40,19223.33,104238.83
Baltimore/Washington,Weekly,"2021-01-10 00:00:00",Conventional,1.120000000,1086254.98,206455.65,309588.35,3353.95,458310.92,363654.04,76400.22,18256.66,108546.11
Baltimore/Washington,Weekly,"2021-01-04 00:00:00",Conventional,0.940000000,1148720.46,244350.06,306121.25,3905.09,495777.00,307722.83,169324.17,18730.00,98567.06
Boise,Weekly,"2021-01-24 00:00:00",Conventional,0.870000000,167096.14,39896.97,10935.14,1028.66,32932.49,21405.86,11516.63,10.00,82302.88
Boise,Weekly,"2021-01-17 00:00:00",Conventional,0.940000000,156419.53,33220.61,12268.63,1126.84,35548.70,20918.23,14620.47,10.00,74254.75
Boise,Weekly,"2021-01-10 00:00:00",Conventional,0.950000000,155014.98,41229.01,12834.69,1297.41,38425.57,23956.30,14469.27,0.00,61228.30
Boise,Weekly,"2021-01-04 00:00:00",Conventional,0.810000000,167339.56,41349.05,16139.39,1292.01,34234.06,21524.28,12691.87,17.91,74325.05
Boston,Weekly,"2021-01-24 00:00:00",Conventional,1.180000000,922708.08,18640.04,496362.87,122.98,264939.72,257393.16,1323.23,6223.33,142642.47
Boston,Weekly,"2021-01-17 00:00:00",Conventional,1.160000000,1003666.71,19927.92,461746.93,153.91,374864.67,345685.96,23492.04,5686.67,146973.28
Boston,Weekly,"2021-01-10 00:00:00",Conventional,1.210000000,883096.80,18305.03,435289.24,114.46,232941.82,219853.91,6954.58,6133.33,196446.25
Boston,Weekly,"2021-01-04 00:00:00",Conventional,1.140000000,790638.79,15877.34,433198.20,205.55,212077.70,198535.73,8861.97,4680.00,129280.00
Buffalo/Rochester,Weekly,"2021-01-24 00:00:00",Conventional,0.930000000,254521.46,38997.30,67964.70,2521.93,139528.53,127503.60,9504.93,2520.00,5509.00
Buffalo/Rochester,Weekly,"2021-01-17 00:00:00",Conventional,0.980000000,257790.78,28947.28,67567.90,3007.66,152222.89,105950.37,40735.85,5536.67,6045.05
Buffalo/Rochester,Weekly,"2021-01-10 00:00:00",Conventional,0.960000000,245920.96,24783.48,69058.31,2856.75,144606.92,118261.13,21255.79,5090.00,4615.50
Buffalo/Rochester,Weekly,"2021-01-04 00:00:00",Conventional,0.950000000,224480.30,33473.77,66524.94,1989.09,118215.36,79839.70,33635.66,4740.00,4277.14
California,Weekly,"2021-01-24 00:00:00",Conventional,1.130000000,7538838.49,1735687.86,961556.25,226309.08,1482205.41,1216208.23,210550.62,55446.56,3133079.89
California,Weekly,"2021-01-17 00:00:00",Conventional,1.160000000,7437526.02,1819481.06,906584.27,241462.16,1490337.59,1198437.76,226128.05,65771.78,2979660.94
California,Weekly,"2021-01-10 00:00:00",Conventional,1.080000000,7974020.28,1956112.26,835362.80,232107.97,1460548.30,1214730.86,165623.61,80193.83,3489888.95
California,Weekly,"2021-01-04 00:00:00",Conventional,0.950000000,8330243.54,2202669.14,943923.74,289031.24,1273146.51,1080473.44,135837.40,56835.67,3621472.91
Charlotte,Weekly,"2021-01-24 00:00:00",Conventional,0.960000000,411130.69,176752.33,62683.70,5931.99,132402.72,111768.23,20597.82,36.67,33359.95
Charlotte,Weekly,"2021-01-17 00:00:00",Conventional,1.020000000,384563.27,144499.93,57729.45,4291.57,145337.28,121181.53,24125.75,30.00,32705.04
Charlotte,Weekly,"2021-01-10 00:00:00",Conventional,0.900000000,421160.28,163266.73,53458.30,4244.29,166585.35,141260.02,25288.66,36.67,33605.61
Charlotte,Weekly,"2021-01-04 00:00:00",Conventional,0.910000000,445868.47,165208.69,57001.73,4650.42,189496.84,163631.87,25844.97,20.00,29510.79
Chicago,Weekly,"2021-01-24 00:00:00",Conventional,0.980000000,1232363.64,139874.27,234285.03,41675.23,218103.68,215386.04,2704.31,13.33,598425.43
Chicago,Weekly,"2021-01-17 00:00:00",Conventional,1.090000000,1207411.23,119681.68,232693.00,46090.29,229439.37,226324.43,3098.27,16.67,579506.89
Chicago,Weekly,"2021-01-10 00:00:00",Conventional,1.190000000,957778.41,145242.97,138894.89,49350.50,229431.62,226750.98,2663.98,16.66,394858.43
Chicago,Weekly,"2021-01-04 00:00:00",Conventional,1.070000000,1010514.74,113620.98,191053.37,42629.30,208596.22,206021.64,2561.25,13.33,454614.87
Cincinnati/Dayton,Weekly,"2021-01-24 00:00:00",Conventional,0.820000000,365491.65,52593.61,84925.22,2113.66,31325.58,31314.47,11.11,0.00,194533.58
Cincinnati/Dayton,Weekly,"2021-01-17 00:00:00",Conventional,0.860000000,412329.49,59904.42,86947.75,3434.99,33830.24,33812.46,11.11,6.67,228212.09
Cincinnati/Dayton,Weekly,"2021-01-10 00:00:00",Conventional,0.850000000,381919.75,67596.31,60985.68,4005.51,38173.82,38149.38,11.11,13.33,211158.43
Cincinnati/Dayton,Weekly,"2021-01-04 00:00:00",Conventional,0.740000000,404789.04,62126.92,76192.36,4978.67,29339.95,29334.39,5.56,0.00,232151.14
Columbus,Weekly,"2021-01-24 00:00:00",Conventional,0.830000000,297889.18,52227.23,61236.54,486.00,45408.90,45327.79,77.78,3.33,138530.51
Columbus,Weekly,"2021-01-17 00:00:00",Conventional,0.780000000,323633.02,59509.95,63131.05,445.51,45007.80,44724.47,283.33,0.00,155538.71
Columbus,Weekly,"2021-01-10 00:00:00",Conventional,0.840000000,279578.70,56866.95,41813.11,445.67,52125.39,51855.39,266.67,3.33,128327.58
Columbus,Weekly,"2021-01-04 00:00:00",Conventional,0.740000000,322982.07,54032.69,59556.90,612.24,38595.00,38551.67,33.33,10.00,170185.24
"Dallas/Ft. Worth",Weekly,"2021-01-24 00:00:00",Conventional,0.640000000,1823394.16,597474.45,203532.54,12607.82,482690.16,407274.08,74942.75,473.33,527089.19
"Dallas/Ft. Worth",Weekly,"2021-01-17 00:00:00",Conventional,0.650000000,1744345.64,647182.45,169772.71,17419.25,483323.69,393432.89,89420.80,470.00,426647.54
"Dallas/Ft. Worth",Weekly,"2021-01-10 00:00:00",Conventional,0.630000000,1937631.12,630898.04,217442.73,12462.20,585993.41,407867.76,177552.32,573.33,490834.74
"Dallas/Ft. Worth",Weekly,"2021-01-04 00:00:00",Conventional,0.610000000,1812802.10,541713.93,296703.52,26858.93,494960.75,339149.39,155448.03,363.33,452564.97
Denver,Weekly,"2021-01-24 00:00:00",Conventional,0.880000000,1153699.94,204753.57,118282.92,3193.33,283914.56,258924.59,24963.30,26.67,543555.56
Denver,Weekly,"2021-01-17 00:00:00",Conventional,0.840000000,1322562.41,213339.31,142384.13,2445.50,253470.36,232865.84,20564.52,40.00,710923.11
Denver,Weekly,"2021-01-10 00:00:00",Conventional,0.900000000,1219088.75,184780.28,139553.06,3041.93,300529.53,263527.56,36961.97,40.00,591183.95
Denver,Weekly,"2021-01-04 00:00:00",Conventional,0.790000000,1216868.36,215979.19,150990.28,2864.09,238164.40,217280.98,20828.84,54.58,608870.40
Detroit,Weekly,"2021-01-24 00:00:00",Conventional,0.860000000,723473.84,92803.17,120429.43,139882.94,98467.34,97997.34,466.67,3.33,271890.96
Detroit,Weekly,"2021-01-17 00:00:00",Conventional,0.840000000,741473.68,100087.15,122500.91,158096.18,100865.91,100298.13,561.11,6.67,259923.53
Detroit,Weekly,"2021-01-10 00:00:00",Conventional,0.910000000,571747.36,95185.90,69641.28,58857.93,129777.29,128449.51,1321.11,6.67,218284.96
Detroit,Weekly,"2021-01-04 00:00:00",Conventional,0.750000000,714372.32,92243.75,111173.01,123047.87,100549.73,99603.63,942.77,3.33,287357.96
"Grand Rapids",Weekly,"2021-01-24 00:00:00",Conventional,0.970000000,305316.09,17274.87,78460.30,142341.17,38764.58,38466.81,294.44,3.33,28475.17
"Grand Rapids",Weekly,"2021-01-17 00:00:00",Conventional,0.950000000,340532.04,19929.63,97205.96,155198.63,39185.17,38857.39,327.78,0.00,29012.65
"Grand Rapids",Weekly,"2021-01-10 00:00:00",Conventional,1.260000000,225681.97,18434.70,55007.16,68776.00,61813.68,61474.79,338.89,0.00,21650.43
"Grand Rapids",Weekly,"2021-01-04 00:00:00",Conventional,0.830000000,326681.52,23905.47,93678.44,130951.96,47444.58,47346.81,94.44,3.33,30701.07
"Great Lakes",Weekly,"2021-01-24 00:00:00",Conventional,0.880000000,5782228.00,829916.89,1254292.99,567923.78,933417.04,907935.14,25157.13,324.77,2196677.30
"Great Lakes",Weekly,"2021-01-17 00:00:00",Conventional,0.880000000,6152626.60,884765.00,1324557.16,636802.64,994537.89,963693.16,30427.51,417.22,2311963.91
"Great Lakes",Weekly,"2021-01-10 00:00:00",Conventional,0.950000000,5050148.07,887388.13,880506.98,289185.58,1120814.56,1091903.10,28417.57,493.89,1872252.82
"Great Lakes",Weekly,"2021-01-04 00:00:00",Conventional,0.820000000,5695256.73,845238.60,1180793.41,518673.31,913118.84,890325.00,22489.95,303.89,2237432.57
Harrisburg/Scranton,Weekly,"2021-01-24 00:00:00",Conventional,0.940000000,473204.10,166179.70,123804.34,182.53,170796.94,154488.57,5798.37,10510.00,12240.59
Harrisburg/Scranton,Weekly,"2021-01-17 00:00:00",Conventional,0.960000000,470758.15,172091.88,119351.78,117.69,169881.38,153805.38,3119.33,12956.67,9315.42
Harrisburg/Scranton,Weekly,"2021-01-10 00:00:00",Conventional,0.980000000,430838.94,159887.47,112964.77,74.17,146743.36,134934.82,2125.21,9683.33,11169.17
Harrisburg/Scranton,Weekly,"2021-01-04 00:00:00",Conventional,0.980000000,413476.67,161733.81,110781.00,98.40,131005.23,118916.92,2398.31,9690.00,9858.23
Hartford/Springfield,Weekly,"2021-01-24 00:00:00",Conventional,1.070000000,520736.13,12598.62,392555.53,169.87,112320.75,100188.23,5855.85,6276.67,3091.36
Hartford/Springfield,Weekly,"2021-01-17 00:00:00",Conventional,1.170000000,462008.83,11957.75,332366.66,174.06,112570.56,97448.86,10335.03,4786.67,4939.80
Hartford/Springfield,Weekly,"2021-01-10 00:00:00",Conventional,1.220000000,441587.51,11388.52,316844.33,236.51,105518.25,89809.08,10235.84,5473.33,7599.90
Hartford/Springfield,Weekly,"2021-01-04 00:00:00",Conventional,1.070000000,442462.01,10584.57,331444.00,378.23,93406.77,80091.41,9428.69,3886.67,6648.44
Houston,Weekly,"2021-01-24 00:00:00",Conventional,0.640000000,1733687.29,531226.35,306310.10,2847.37,237253.57,196607.60,22562.63,18083.34,656049.90
Houston,Weekly,"2021-01-17 00:00:00",Conventional,0.730000000,1400342.76,519672.24,218958.97,2536.51,246897.08,205342.08,20628.34,20926.66,412277.96
Houston,Weekly,"2021-01-10 00:00:00",Conventional,0.650000000,1649296.68,537171.44,297728.00,3557.47,300345.03,210592.55,73199.14,16553.34,510494.74
Houston,Weekly,"2021-01-04 00:00:00",Conventional,0.600000000,1701262.30,501816.98,429487.35,2845.45,259129.12,180168.89,69193.56,9766.67,507983.40
Indianapolis,Weekly,"2021-01-24 00:00:00",Conventional,0.800000000,319506.73,56714.96,93259.65,1234.49,61610.90,61423.12,177.78,10.00,106686.73
Indianapolis,Weekly,"2021-01-17 00:00:00",Conventional,0.800000000,349313.28,57047.90,100800.33,2032.60,67956.90,67831.34,88.89,36.67,121475.55
Indianapolis,Weekly,"2021-01-10 00:00:00",Conventional,0.800000000,300834.73,60240.08,69424.11,2547.89,69078.06,69026.12,35.27,16.67,99544.59
Indianapolis,Weekly,"2021-01-04 00:00:00",Conventional,0.720000000,318474.93,55445.10,82164.77,2646.12,59586.91,59429.69,130.55,26.67,118632.03
Jacksonville,Weekly,"2021-01-24 00:00:00",Conventional,0.860000000,272293.80,122951.79,11255.45,129.34,67218.35,39028.61,26871.41,1318.33,70738.87
Jacksonville,Weekly,"2021-01-17 00:00:00",Conventional,0.820000000,259224.71,98550.62,10968.18,84.24,80915.29,43546.00,27600.96,9768.33,68706.38
Jacksonville,Weekly,"2021-01-10 00:00:00",Conventional,0.830000000,257852.04,116427.07,9330.12,97.37,69468.93,39939.97,26707.29,2821.67,62528.55
Jacksonville,Weekly,"2021-01-04 00:00:00",Conventional,0.750000000,265445.51,116151.73,14339.79,61.15,64922.93,34136.51,22701.42,8085.00,69969.91
"Las Vegas",Weekly,"2021-01-24 00:00:00",Conventional,0.800000000,484980.64,70081.37,43807.54,906.19,142233.64,96625.03,45581.94,26.67,227951.90
"Las Vegas",Weekly,"2021-01-17 00:00:00",Conventional,0.870000000,426454.58,58381.07,32278.61,78.57,148927.97,110465.61,38445.69,16.67,186788.36
"Las Vegas",Weekly,"2021-01-10 00:00:00",Conventional,0.800000000,469755.12,70606.35,39640.49,64.82,153993.44,117563.02,36388.89,41.53,205450.02
"Las Vegas",Weekly,"2021-01-04 00:00:00",Conventional,0.690000000,518401.52,62120.94,58350.62,302.09,126774.14,97985.94,28684.03,104.17,270853.73
"Los Angeles",Weekly,"2021-01-24 00:00:00",Conventional,1.090000000,3570572.38,844438.70,71884.14,175493.28,703544.93,500572.65,158134.74,44837.54,1775211.33
"Los Angeles",Weekly,"2021-01-17 00:00:00",Conventional,1.090000000,3655111.89,909254.11,67110.56,189870.70,737874.60,515249.85,169559.30,53065.45,1751001.92
"Los Angeles",Weekly,"2021-01-10 00:00:00",Conventional,1.120000000,3627630.50,907227.84,70384.26,178972.15,748331.90,566457.37,115525.70,66348.83,1722714.35
"Los Angeles",Weekly,"2021-01-04 00:00:00",Conventional,0.870000000,4113373.54,1101283.09,85458.38,221677.97,617855.48,473346.92,99667.36,44841.20,2087098.62
Louisville,Weekly,"2021-01-24 00:00:00",Conventional,0.840000000,169022.98,26124.85,31163.80,42.88,31198.72,29746.50,83.33,1368.89,80492.73
Louisville,Weekly,"2021-01-17 00:00:00",Conventional,0.890000000,148954.65,24514.71,23073.43,45.76,40322.54,35193.10,111.11,5018.33,60998.21
Louisville,Weekly,"2021-01-10 00:00:00",Conventional,0.870000000,152206.34,28899.17,18009.29,46.89,38866.19,34037.86,33.33,4795.00,66384.80
Louisville,Weekly,"2021-01-04 00:00:00",Conventional,0.820000000,162705.26,26292.81,27778.63,71.26,31706.46,27716.46,44.44,3945.56,76856.10
"Miami/Ft. Lauderdale",Weekly,"2021-01-24 00:00:00",Conventional,0.840000000,1238826.82,590204.02,47214.92,89.63,291008.86,217415.77,73306.42,286.67,310309.39
"Miami/Ft. Lauderdale",Weekly,"2021-01-17 00:00:00",Conventional,0.830000000,1211053.08,563929.75,46294.05,122.78,294770.64,216628.04,74149.83,3992.77,305935.86
"Miami/Ft. Lauderdale",Weekly,"2021-01-10 00:00:00",Conventional,0.840000000,1145085.12,527933.12,41841.66,124.54,275455.80,215883.26,58209.21,1363.33,299730.00
"Miami/Ft. Lauderdale",Weekly,"2021-01-04 00:00:00",Conventional,0.760000000,1113009.83,534674.70,54952.13,100.90,237688.72,176170.66,57879.17,3638.89,285593.38
Midsouth,Weekly,"2021-01-24 00:00:00",Conventional,0.910000000,5080604.24,1609174.28,908159.81,23133.93,1465665.13,1186302.59,221793.65,57568.89,1074471.09
Midsouth,Weekly,"2021-01-17 00:00:00",Conventional,0.950000000,4898030.40,1496967.31,902333.77,17166.51,1590296.23,1237165.58,262655.65,90475.00,891266.58
Midsouth,Weekly,"2021-01-10 00:00:00",Conventional,0.910000000,4928218.58,1505105.92,820871.13,16301.48,1615935.37,1276009.33,250153.26,89772.78,970004.68
Midsouth,Weekly,"2021-01-04 00:00:00",Conventional,0.850000000,5026216.53,1562243.94,871984.66,18933.87,1629870.25,1185873.90,363681.91,80314.44,943183.81
Nashville,Weekly,"2021-01-24 00:00:00",Conventional,0.810000000,332688.87,118256.94,23114.46,13.18,77932.28,75089.37,2174.58,668.33,113372.01
Nashville,Weekly,"2021-01-17 00:00:00",Conventional,0.800000000,335390.93,118584.17,20908.81,5.50,93046.56,80896.50,2585.62,9564.44,102845.89
Nashville,Weekly,"2021-01-10 00:00:00",Conventional,0.780000000,346754.01,117268.81,19666.74,197.60,85925.44,72397.17,2272.71,11255.56,123695.42
Nashville,Weekly,"2021-01-04 00:00:00",Conventional,0.750000000,339862.38,116956.66,22737.59,112.90,79101.66,67884.48,1942.18,9275.00,120953.57
"New Orleans/Mobile",Weekly,"2021-01-24 00:00:00",Conventional,0.720000000,434430.03,153613.03,24816.36,372.66,175143.76,140265.87,22197.89,12680.00,80484.22
"New Orleans/Mobile",Weekly,"2021-01-17 00:00:00",Conventional,0.690000000,446355.71,160244.74,27906.51,402.11,173570.21,135727.67,25005.88,12836.66,84232.14
"New Orleans/Mobile",Weekly,"2021-01-10 00:00:00",Conventional,0.700000000,428002.93,150193.27,22827.08,253.20,170570.09,126154.63,31262.13,13153.33,84159.29
"New Orleans/Mobile",Weekly,"2021-01-04 00:00:00",Conventional,0.600000000,425533.12,169762.33,35813.34,423.61,144732.72,104103.65,32745.74,7883.33,74801.12
"New York",Weekly,"2021-01-24 00:00:00",Conventional,0.960000000,2881927.88,83027.97,1627172.00,839.93,1008957.69,727279.57,269864.79,11813.33,161930.29
"New York",Weekly,"2021-01-17 00:00:00",Conventional,1.020000000,2580882.11,70504.14,1441142.79,951.17,985537.90,728245.78,241778.79,15513.33,82746.11
"New York",Weekly,"2021-01-10 00:00:00",Conventional,1.050000000,2406554.87,68139.44,1393157.77,1066.02,847583.35,637337.00,197993.02,12253.33,96608.29
"New York",Weekly,"2021-01-04 00:00:00",Conventional,0.960000000,2388356.41,61924.74,1289306.87,1917.58,955051.93,621488.09,320710.51,12853.33,80155.29
Northeast,Weekly,"2021-01-24 00:00:00",Conventional,0.980000000,7883844.76,661914.59,4185198.47,8375.90,2433298.66,1970604.13,397764.53,64930.00,595057.14
Northeast,Weekly,"2021-01-17 00:00:00",Conventional,1.050000000,7336696.90,635105.09,3590162.03,9752.39,2581229.76,2056781.33,444778.43,79670.00,520447.63
Northeast,Weekly,"2021-01-10 00:00:00",Conventional,1.070000000,6848650.22,580478.66,3476123.19,9639.85,2213643.15,1787469.49,355203.66,70970.00,568765.37
Northeast,Weekly,"2021-01-04 00:00:00",Conventional,0.950000000,6919856.03,597119.64,3597640.66,9079.22,2229197.74,1541194.81,622829.04,65173.89,486818.77
"Northern New England",Weekly,"2021-01-24 00:00:00",Conventional,0.880000000,886682.75,18289.43,686339.03,126.53,109129.99,102126.42,190.24,6813.33,72797.77
"Northern New England",Weekly,"2021-01-17 00:00:00",Conventional,1.070000000,743055.45,17622.21,473566.58,96.35,161968.00,155898.91,179.09,5890.00,89802.31
"Northern New England",Weekly,"2021-01-10 00:00:00",Conventional,1.070000000,718282.77,14643.72,462735.27,78.25,136047.33,129107.95,202.71,6736.67,104778.20
"Northern New England",Weekly,"2021-01-04 00:00:00",Conventional,0.840000000,846316.49,16289.66,655427.27,105.15,85583.32,79627.63,115.13,5840.56,88911.09
Orlando,Weekly,"2021-01-24 00:00:00",Conventional,0.810000000,718112.63,311336.90,17853.74,21.45,224339.18,131500.86,91257.76,1580.56,164561.36
Orlando,Weekly,"2021-01-17 00:00:00",Conventional,0.790000000,680268.43,260587.14,17476.06,81.55,257567.93,149427.26,95027.34,13113.33,144555.75
Orlando,Weekly,"2021-01-10 00:00:00",Conventional,0.790000000,668377.34,283762.09,16214.77,140.36,219436.81,128758.71,86470.32,4207.78,148823.31
Orlando,Weekly,"2021-01-04 00:00:00",Conventional,0.730000000,660310.10,271603.67,22451.46,114.11,205309.02,118495.82,76890.42,9922.78,160831.84
Philadelphia,Weekly,"2021-01-24 00:00:00",Conventional,0.890000000,868474.69,153023.31,290714.51,382.04,295139.72,206248.42,80997.97,7893.33,129215.11
Philadelphia,Weekly,"2021-01-17 00:00:00",Conventional,0.950000000,759600.59,144272.87,271383.16,368.79,287020.68,202801.25,74866.10,9353.33,56555.09
Philadelphia,Weekly,"2021-01-10 00:00:00",Conventional,0.930000000,732797.33,139311.94,266107.08,222.32,264965.70,183070.66,74871.71,7023.33,62190.29
Philadelphia,Weekly,"2021-01-04 00:00:00",Conventional,0.810000000,771491.25,132283.15,229810.82,242.52,351722.25,154753.58,190092.00,6876.67,57432.51
Phoenix/Tucson,Weekly,"2021-01-24 00:00:00",Conventional,0.690000000,1467400.05,303386.43,297148.41,4005.63,188052.48,161426.93,26622.22,3.33,674807.10
