Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units","Bulk GTIN"
"Great Lakes",Weekly,"2021-01-17 00:00:00",Organic,1.350000000,268158.00,8286.00,19992.00,0.00,141442.00,76294.00,65038.00,111.00,98437.00
"Great Lakes",Weekly,"2021-01-10 00:00:00",Organic,1.220000000,311846.00,6504.00,18782.00,0.00,202350.00,88664.00,113678.00,9.00,84209.00
"Great Lakes",Weekly,"2021-01-04 00:00:00",Organic,1.210000000,279007.00,6475.00,20112.00,0.00,170396.00,56973.00,113423.00,0.00,82024.00
Harrisburg/Scranton,Weekly,"2021-01-24 00:00:00",Organic,1.170000000,23188.00,272.00,535.00,0.00,22356.00,22223.00,133.00,0.00,25.00
Harrisburg/Scranton,Weekly,"2021-01-17 00:00:00",Organic,1.150000000,23218.00,643.00,585.00,0.00,21949.00,21810.00,139.00,0.00,42.00
Harrisburg/Scranton,Weekly,"2021-01-10 00:00:00",Organic,1.130000000,24170.00,228.00,538.00,0.00,23390.00,23252.00,138.00,0.00,14.00
Harrisburg/Scranton,Weekly,"2021-01-04 00:00:00",Organic,1.170000000,20428.00,330.00,462.00,0.00,19631.00,19488.00,143.00,0.00,5.00
Hartford/Springfield,Weekly,"2021-01-24 00:00:00",Organic,1.630000000,33418.00,382.00,7719.00,0.00,25233.00,25233.00,0.00,0.00,84.00
Hartford/Springfield,Weekly,"2021-01-17 00:00:00",Organic,1.840000000,24507.00,1223.00,7905.00,0.00,15149.00,15149.00,0.00,0.00,230.00
Hartford/Springfield,Weekly,"2021-01-10 00:00:00",Organic,1.620000000,29237.00,516.00,8483.00,6.00,20118.00,20118.00,0.00,0.00,115.00
Hartford/Springfield,Weekly,"2021-01-04 00:00:00",Organic,1.350000000,27212.00,324.00,16177.00,0.00,10688.00,10688.00,0.00,0.00,23.00
Houston,Weekly,"2021-01-24 00:00:00",Organic,1.030000000,51326.00,5160.00,762.00,0.00,16944.00,1214.00,15729.00,0.00,28461.00
Houston,Weekly,"2021-01-17 00:00:00",Organic,1.240000000,35226.00,5122.00,4.00,0.00,17554.00,1468.00,16087.00,0.00,12545.00
Houston,Weekly,"2021-01-10 00:00:00",Organic,1.170000000,36529.00,6069.00,0.00,0.00,15994.00,1548.00,14446.00,0.00,14466.00
Houston,Weekly,"2021-01-04 00:00:00",Organic,1.140000000,30140.00,6139.00,13.00,0.00,11800.00,881.00,10918.00,0.00,12189.00
Indianapolis,Weekly,"2021-01-24 00:00:00",Organic,1.230000000,12004.00,137.00,1116.00,0.00,6527.00,2788.00,3739.00,0.00,4224.00
Indianapolis,Weekly,"2021-01-17 00:00:00",Organic,1.240000000,13768.00,172.00,1266.00,0.00,6789.00,3449.00,3341.00,0.00,5540.00
Indianapolis,Weekly,"2021-01-10 00:00:00",Organic,1.170000000,13078.00,181.00,911.00,0.00,8206.00,4484.00,3722.00,0.00,3779.00
Indianapolis,Weekly,"2021-01-04 00:00:00",Organic,1.160000000,10239.00,144.00,875.00,0.00,5914.00,3068.00,2846.00,0.00,3306.00
Jacksonville,Weekly,"2021-01-24 00:00:00",Organic,0.970000000,5780.00,75.00,244.00,0.00,5461.00,2923.00,0.00,2538.00,0.00
Jacksonville,Weekly,"2021-01-17 00:00:00",Organic,1.050000000,5542.00,66.00,216.00,0.00,5202.00,1801.00,3.00,3398.00,58.00
Jacksonville,Weekly,"2021-01-10 00:00:00",Organic,1.010000000,5843.00,74.00,266.00,0.00,5474.00,2829.00,3.00,2643.00,28.00
Jacksonville,Weekly,"2021-01-04 00:00:00",Organic,0.900000000,7297.00,43.00,295.00,2.00,6921.00,4654.00,0.00,2266.00,37.00
"Las Vegas",Weekly,"2021-01-24 00:00:00",Organic,1.360000000,19091.00,932.00,326.00,0.00,8427.00,4104.00,4322.00,0.00,9407.00
"Las Vegas",Weekly,"2021-01-17 00:00:00",Organic,1.400000000,20816.00,978.00,571.00,0.00,8837.00,4551.00,4286.00,0.00,10431.00
"Las Vegas",Weekly,"2021-01-10 00:00:00",Organic,1.360000000,20922.00,923.00,712.00,0.00,9017.00,4912.00,4105.00,0.00,10270.00
"Las Vegas",Weekly,"2021-01-04 00:00:00",Organic,1.330000000,16147.00,601.00,363.00,0.00,6837.00,4087.00,2751.00,0.00,8346.00
"Los Angeles",Weekly,"2021-01-24 00:00:00",Organic,1.580000000,189008.00,11971.00,2568.00,0.00,77324.00,26404.00,50919.00,0.00,97144.00
"Los Angeles",Weekly,"2021-01-17 00:00:00",Organic,1.630000000,185385.00,10245.00,2811.00,6.00,76070.00,29586.00,46484.00,0.00,96253.00
"Los Angeles",Weekly,"2021-01-10 00:00:00",Organic,1.640000000,175162.00,9452.00,3152.00,11.00,74331.00,26789.00,47542.00,0.00,88216.00
"Los Angeles",Weekly,"2021-01-04 00:00:00",Organic,1.360000000,171436.00,7510.00,3285.00,6.00,67197.00,24960.00,42237.00,0.00,93438.00
Louisville,Weekly,"2021-01-24 00:00:00",Organic,1.310000000,9365.00,2.00,694.00,0.00,4809.00,201.00,3535.00,1073.00,3859.00
Louisville,Weekly,"2021-01-17 00:00:00",Organic,1.450000000,10866.00,1.00,789.00,0.00,5790.00,232.00,4461.00,1097.00,4286.00
Louisville,Weekly,"2021-01-10 00:00:00",Organic,1.290000000,10893.00,11.00,949.00,0.00,5520.00,459.00,4221.00,840.00,4412.00
Louisville,Weekly,"2021-01-04 00:00:00",Organic,1.190000000,8991.00,19.00,806.00,0.00,4202.00,323.00,3170.00,709.00,3964.00
"Miami/Ft. Lauderdale",Weekly,"2021-01-24 00:00:00",Organic,0.920000000,19414.00,311.00,0.00,0.00,19103.00,19012.00,0.00,90.00,0.00
"Miami/Ft. Lauderdale",Weekly,"2021-01-17 00:00:00",Organic,0.920000000,22881.00,293.00,7.00,0.00,22582.00,21503.00,0.00,1079.00,0.00
"Miami/Ft. Lauderdale",Weekly,"2021-01-10 00:00:00",Organic,0.940000000,23611.00,445.00,10.00,0.00,23147.00,21828.00,0.00,1318.00,10.00
"Miami/Ft. Lauderdale",Weekly,"2021-01-04 00:00:00",Organic,0.930000000,15803.00,179.00,0.00,0.00,15624.00,14443.00,0.00,1181.00,0.00
Midsouth,Weekly,"2021-01-24 00:00:00",Organic,1.190000000,360742.00,2657.00,25766.00,184.00,292344.00,224870.00,51284.00,16190.00,39791.00
Midsouth,Weekly,"2021-01-17 00:00:00",Organic,1.250000000,352543.00,2948.00,25917.00,171.00,277294.00,206969.00,54637.00,15689.00,46212.00
Midsouth,Weekly,"2021-01-10 00:00:00",Organic,1.230000000,346211.00,2874.00,25993.00,213.00,273620.00,207968.00,50573.00,15079.00,43511.00
Midsouth,Weekly,"2021-01-04 00:00:00",Organic,1.150000000,321407.00,2608.00,26300.00,142.00,255704.00,196374.00,47500.00,11830.00,36653.00
Nashville,Weekly,"2021-01-24 00:00:00",Organic,1.220000000,24652.00,24.00,1583.00,0.00,14574.00,1788.00,8163.00,4623.00,8471.00
Nashville,Weekly,"2021-01-17 00:00:00",Organic,1.320000000,24365.00,36.00,1507.00,0.00,14398.00,2319.00,7896.00,4183.00,8423.00
Nashville,Weekly,"2021-01-10 00:00:00",Organic,1.230000000,23601.00,22.00,1460.00,0.00,13258.00,2225.00,7183.00,3850.00,8861.00
Nashville,Weekly,"2021-01-04 00:00:00",Organic,1.120000000,18136.00,46.00,945.00,0.00,11854.00,2144.00,6344.00,3366.00,5292.00
"New Orleans/Mobile",Weekly,"2021-01-24 00:00:00",Organic,1.050000000,11924.00,41.00,40.00,0.00,10441.00,3186.00,7255.00,0.00,1402.00
"New Orleans/Mobile",Weekly,"2021-01-17 00:00:00",Organic,1.110000000,7775.00,32.00,0.00,0.00,6388.00,3539.00,2849.00,0.00,1355.00
"New Orleans/Mobile",Weekly,"2021-01-10 00:00:00",Organic,1.110000000,10015.00,48.00,0.00,0.00,8530.00,3175.00,5355.00,0.00,1437.00
"New Orleans/Mobile",Weekly,"2021-01-04 00:00:00",Organic,1.090000000,8290.00,65.00,0.00,0.00,6897.00,2683.00,4214.00,0.00,1327.00
"New York",Weekly,"2021-01-24 00:00:00",Organic,1.510000000,162866.00,14252.00,10033.00,14.00,133275.00,133275.00,0.00,0.00,5292.00
"New York",Weekly,"2021-01-17 00:00:00",Organic,1.570000000,143843.00,22115.00,13307.00,12.00,101251.00,101251.00,0.00,0.00,7157.00
"New York",Weekly,"2021-01-10 00:00:00",Organic,1.340000000,190713.00,11679.00,8791.00,21.00,164669.00,164669.00,0.00,0.00,5552.00
"New York",Weekly,"2021-01-04 00:00:00",Organic,1.630000000,95843.00,11040.00,10652.00,4.00,68827.00,68827.00,0.00,0.00,5321.00
Northeast,Weekly,"2021-01-24 00:00:00",Organic,1.470000000,431385.00,22724.00,27778.00,23.00,364720.00,349348.00,15373.00,0.00,16140.00
Northeast,Weekly,"2021-01-17 00:00:00",Organic,1.520000000,399275.00,36313.00,32691.00,11.00,310004.00,293006.00,16997.00,0.00,20256.00
Northeast,Weekly,"2021-01-10 00:00:00",Organic,1.380000000,472545.00,19425.00,26886.00,26.00,409464.00,388788.00,20676.00,0.00,16744.00
Northeast,Weekly,"2021-01-04 00:00:00",Organic,1.490000000,301388.00,18415.00,40688.00,20.00,228541.00,214305.00,14236.00,0.00,13725.00
"Northern New England",Weekly,"2021-01-24 00:00:00",Organic,1.480000000,33218.00,67.00,735.00,0.00,28188.00,16470.00,11718.00,0.00,4228.00
"Northern New England",Weekly,"2021-01-17 00:00:00",Organic,1.560000000,31210.00,104.00,776.00,0.00,26224.00,13539.00,12685.00,0.00,4107.00
"Northern New England",Weekly,"2021-01-10 00:00:00",Organic,1.530000000,32974.00,137.00,901.00,0.00,27807.00,11888.00,15919.00,0.00,4129.00
"Northern New England",Weekly,"2021-01-04 00:00:00",Organic,1.530000000,25803.00,59.00,694.00,0.00,21973.00,11576.00,10397.00,0.00,3078.00
Orlando,Weekly,"2021-01-24 00:00:00",Organic,0.890000000,10362.00,128.00,0.00,0.00,10234.00,9770.00,3.00,461.00,0.00
Orlando,Weekly,"2021-01-17 00:00:00",Organic,0.940000000,14568.00,123.00,0.00,0.00,14445.00,10350.00,0.00,4095.00,0.00
Orlando,Weekly,"2021-01-10 00:00:00",Organic,0.940000000,15807.00,86.00,0.00,0.00,15721.00,10979.00,0.00,4743.00,0.00
Orlando,Weekly,"2021-01-04 00:00:00",Organic,0.930000000,13790.00,196.00,0.00,0.00,13593.00,9974.00,0.00,3620.00,0.00
Philadelphia,Weekly,"2021-01-24 00:00:00",Organic,1.460000000,34410.00,1798.00,2523.00,1.00,26128.00,25045.00,1083.00,0.00,3960.00
Philadelphia,Weekly,"2021-01-17 00:00:00",Organic,1.420000000,42168.00,3495.00,3308.00,0.00,30563.00,29448.00,1115.00,0.00,4802.00
Philadelphia,Weekly,"2021-01-10 00:00:00",Organic,1.280000000,47879.00,1793.00,1946.00,0.00,39893.00,38724.00,1169.00,0.00,4248.00
Philadelphia,Weekly,"2021-01-04 00:00:00",Organic,1.460000000,31183.00,1769.00,2591.00,0.00,23294.00,22199.00,1095.00,0.00,3530.00
Phoenix/Tucson,Weekly,"2021-01-24 00:00:00",Organic,1.270000000,34021.00,2576.00,2293.00,0.00,16517.00,10543.00,5974.00,0.00,12635.00
Phoenix/Tucson,Weekly,"2021-01-17 00:00:00",Organic,1.270000000,38463.00,3943.00,5863.00,0.00,18402.00,11954.00,6447.00,0.00,10255.00
Phoenix/Tucson,Weekly,"2021-01-10 00:00:00",Organic,1.250000000,39641.00,2954.00,5693.00,0.00,17630.00,11258.00,6372.00,0.00,13363.00
Phoenix/Tucson,Weekly,"2021-01-04 00:00:00",Organic,1.110000000,40493.00,2883.00,10529.00,0.00,15824.00,11037.00,4787.00,0.00,11258.00
Pittsburgh,Weekly,"2021-01-24 00:00:00",Organic,1.320000000,14414.00,2272.00,0.00,0.00,10698.00,10687.00,11.00,0.00,1444.00
Pittsburgh,Weekly,"2021-01-17 00:00:00",Organic,1.220000000,17781.00,3678.00,0.00,0.00,11845.00,11840.00,6.00,0.00,2259.00
Pittsburgh,Weekly,"2021-01-10 00:00:00",Organic,1.290000000,16600.00,2228.00,2.00,0.00,12959.00,12936.00,22.00,0.00,1412.00
Pittsburgh,Weekly,"2021-01-04 00:00:00",Organic,1.330000000,13472.00,2347.00,7.00,0.00,10064.00,10043.00,21.00,0.00,1055.00
Plains,Weekly,"2021-01-24 00:00:00",Organic,1.130000000,74736.00,4850.00,2036.00,11.00,60665.00,56631.00,4034.00,0.00,7174.00
Plains,Weekly,"2021-01-17 00:00:00",Organic,1.110000000,85694.00,5256.00,2167.00,17.00,65149.00,57998.00,7150.00,0.00,13107.00
Plains,Weekly,"2021-01-10 00:00:00",Organic,1.140000000,82237.00,5673.00,2002.00,8.00,60599.00,54031.00,6568.00,0.00,13955.00
Plains,Weekly,"2021-01-04 00:00:00",Organic,1.150000000,70703.00,5004.00,2205.00,31.00,53521.00,48843.00,4678.00,0.00,9941.00
Portland,Weekly,"2021-01-24 00:00:00",Organic,1.340000000,57918.00,799.00,8533.00,0.00,17113.00,2501.00,14612.00,0.00,31472.00
Portland,Weekly,"2021-01-17 00:00:00",Organic,1.360000000,63268.00,1100.00,9147.00,0.00,15559.00,2505.00,13054.00,0.00,37462.00
Portland,Weekly,"2021-01-10 00:00:00",Organic,1.490000000,59610.00,1365.00,10612.00,0.00,15792.00,2286.00,13506.00,0.00,31841.00
Portland,Weekly,"2021-01-04 00:00:00",Organic,1.200000000,85937.00,2604.00,14391.00,0.00,13335.00,2347.00,10988.00,0.00,55607.00
Raleigh/Greensboro,Weekly,"2021-01-24 00:00:00",Organic,1.320000000,31684.00,757.00,3690.00,57.00,26616.00,26612.00,3.00,0.00,565.00
Raleigh/Greensboro,Weekly,"2021-01-17 00:00:00",Organic,1.400000000,26599.00,825.00,3646.00,78.00,21071.00,21059.00,12.00,0.00,978.00
Raleigh/Greensboro,Weekly,"2021-01-10 00:00:00",Organic,1.390000000,27065.00,948.00,3581.00,93.00,21589.00,21577.00,12.00,0.00,855.00
Raleigh/Greensboro,Weekly,"2021-01-04 00:00:00",Organic,1.260000000,27538.00,832.00,3554.00,62.00,22182.00,22174.00,8.00,0.00,908.00
Richmond/Norfolk,Weekly,"2021-01-24 00:00:00",Organic,0.970000000,37440.00,25.00,1754.00,0.00,33213.00,27926.00,5287.00,0.00,2449.00
Richmond/Norfolk,Weekly,"2021-01-17 00:00:00",Organic,1.030000000,37997.00,41.00,1776.00,3.00,33464.00,27296.00,6168.00,0.00,2713.00
Richmond/Norfolk,Weekly,"2021-01-10 00:00:00",Organic,0.960000000,36334.00,13.00,1726.00,5.00,31788.00,26438.00,5349.00,0.00,2802.00
Richmond/Norfolk,Weekly,"2021-01-04 00:00:00",Organic,0.900000000,36985.00,13.00,1801.00,3.00,32127.00,24792.00,7334.00,0.00,3042.00
Roanoke,Weekly,"2021-01-24 00:00:00",Organic,1.070000000,21304.00,24.00,1607.00,0.00,16005.00,9377.00,5747.00,881.00,3668.00
Roanoke,Weekly,"2021-01-17 00:00:00",Organic,1.170000000,20772.00,40.00,1683.00,0.00,14496.00,8677.00,5028.00,790.00,4553.00
Roanoke,Weekly,"2021-01-10 00:00:00",Organic,1.110000000,19831.00,29.00,1810.00,0.00,13628.00,8099.00,4619.00,910.00,4364.00
Roanoke,Weekly,"2021-01-04 00:00:00",Organic,1.000000000,17401.00,14.00,1624.00,0.00,12154.00,7796.00,3734.00,624.00,3609.00
Sacramento,Weekly,"2021-01-24 00:00:00",Organic,1.630000000,22847.00,2730.00,3690.00,0.00,12550.00,12550.00,0.00,0.00,3876.00
Sacramento,Weekly,"2021-01-17 00:00:00",Organic,1.700000000,22350.00,2959.00,2510.00,0.00,13054.00,13054.00,0.00,0.00,3827.00
Sacramento,Weekly,"2021-01-10 00:00:00",Organic,1.750000000,21155.00,3088.00,3183.00,0.00,11180.00,11180.00,0.00,0.00,3704.00
Sacramento,Weekly,"2021-01-04 00:00:00",Organic,1.750000000,21701.00,2521.00,2747.00,0.00,12184.00,12184.00,0.00,0.00,4250.00
"San Diego",Weekly,"2021-01-24 00:00:00",Organic,1.820000000,35479.00,1520.00,1142.00,0.00,12386.00,7284.00,5101.00,0.00,20431.00
"San Diego",Weekly,"2021-01-17 00:00:00",Organic,1.880000000,38035.00,1524.00,1382.00,0.00,12444.00,7204.00,5240.00,0.00,22685.00
"San Diego",Weekly,"2021-01-10 00:00:00",Organic,1.820000000,34703.00,1392.00,1233.00,8.00,12617.00,7034.00,5583.00,0.00,19452.00
"San Diego",Weekly,"2021-01-04 00:00:00",Organic,1.290000000,36977.00,1128.00,1583.00,2.00,11224.00,6714.00,4510.00,0.00,23040.00
"San Francisco",Weekly,"2021-01-24 00:00:00",Organic,1.870000000,81585.00,3016.00,8722.00,0.00,44340.00,44340.00,0.00,0.00,25508.00
"San Francisco",Weekly,"2021-01-17 00:00:00",Organic,1.860000000,79853.00,3205.00,5925.00,1.00,44650.00,44650.00,0.00,0.00,26073.00
"San Francisco",Weekly,"2021-01-10 00:00:00",Organic,1.830000000,72603.00,2779.00,6172.00,10.00,39761.00,39761.00,0.00,0.00,23881.00
"San Francisco",Weekly,"2021-01-04 00:00:00",Organic,1.950000000,78943.00,3144.00,6422.00,1.00,44400.00,44400.00,0.00,0.00,24976.00
Seattle,Weekly,"2021-01-24 00:00:00",Organic,1.620000000,85807.00,1289.00,14575.00,0.00,14485.00,2422.00,12062.00,0.00,55459.00
Seattle,Weekly,"2021-01-17 00:00:00",Organic,1.600000000,93549.00,1035.00,15298.00,4.00,14629.00,2755.00,11874.00,0.00,62583.00
Seattle,Weekly,"2021-01-10 00:00:00",Organic,1.810000000,68060.00,1185.00,13562.00,3.00,15309.00,2968.00,12340.00,0.00,38002.00
Seattle,Weekly,"2021-01-04 00:00:00",Organic,1.600000000,80496.00,1323.00,16862.00,0.00,12651.00,2904.00,9747.00,0.00,49660.00
"South Carolina",Weekly,"2021-01-24 00:00:00",Organic,1.290000000,32006.00,423.00,2810.00,77.00,23740.00,20064.00,2877.00,799.00,4956.00
"South Carolina",Weekly,"2021-01-17 00:00:00",Organic,1.320000000,31555.00,525.00,2507.00,74.00,24102.00,20361.00,2517.00,1225.00,4347.00
"South Carolina",Weekly,"2021-01-10 00:00:00",Organic,1.290000000,31115.00,550.00,3045.00,81.00,23358.00,20805.00,1610.00,942.00,4081.00
"South Carolina",Weekly,"2021-01-04 00:00:00",Organic,1.210000000,30692.00,663.00,3292.00,52.00,22970.00,20316.00,1776.00,878.00,3716.00
"South Central",Weekly,"2021-01-24 00:00:00",Organic,1.030000000,337101.00,19182.00,9489.00,4466.00,147590.00,80061.00,67530.00,0.00,156373.00
"South Central",Weekly,"2021-01-17 00:00:00",Organic,1.240000000,263554.00,16368.00,3186.00,18304.00,150246.00,84661.00,65586.00,0.00,75451.00
"South Central",Weekly,"2021-01-10 00:00:00",Organic,1.070000000,362504.00,19854.00,11029.00,85275.00,153686.00,85171.00,68515.00,0.00,92661.00
"South Central",Weekly,"2021-01-04 00:00:00",Organic,1.140000000,214021.00,17847.00,1634.00,2649.00,129592.00,76984.00,52608.00,0.00,62299.00
Southeast,Weekly,"2021-01-24 00:00:00",Organic,1.140000000,197148.00,1638.00,8825.00,71.00,150799.00,114526.00,27083.00,9190.00,35815.00
Southeast,Weekly,"2021-01-17 00:00:00",Organic,1.180000000,206488.00,1477.00,8294.00,68.00,164139.00,120121.00,25923.00,18095.00,32510.00
Southeast,Weekly,"2021-01-10 00:00:00",Organic,1.130000000,204430.00,1797.00,9370.00,75.00,161652.00,120813.00,23759.00,17080.00,31535.00
Southeast,Weekly,"2021-01-04 00:00:00",Organic,1.080000000,183873.00,1638.00,9355.00,50.00,143151.00,108782.00,19844.00,14525.00,29679.00
Spokane,Weekly,"2021-01-24 00:00:00",Organic,1.460000000,8803.00,202.00,857.00,0.00,3629.00,1030.00,2599.00,0.00,4115.00
Spokane,Weekly,"2021-01-17 00:00:00",Organic,1.500000000,8903.00,138.00,884.00,0.00,3431.00,1020.00,2411.00,0.00,4450.00
Spokane,Weekly,"2021-01-10 00:00:00",Organic,1.510000000,10121.00,171.00,1383.00,0.00,3511.00,1057.00,2454.00,0.00,5057.00
Spokane,Weekly,"2021-01-04 00:00:00",Organic,1.440000000,8914.00,81.00,985.00,0.00,3098.00,1058.00,2040.00,0.00,4750.00
"St. Louis",Weekly,"2021-01-24 00:00:00",Organic,1.780000000,7663.00,728.00,1136.00,0.00,4052.00,4052.00,0.00,0.00,1748.00
"St. Louis",Weekly,"2021-01-17 00:00:00",Organic,1.710000000,7872.00,956.00,1267.00,0.00,4250.00,4250.00,0.00,0.00,1399.00
"St. Louis",Weekly,"2021-01-10 00:00:00",Organic,1.810000000,7054.00,869.00,1068.00,0.00,3442.00,3442.00,0.00,0.00,1675.00
"St. Louis",Weekly,"2021-01-04 00:00:00",Organic,1.800000000,6997.00,898.00,1102.00,0.00,3315.00,3315.00,0.00,0.00,1682.00
Syracuse,Weekly,"2021-01-24 00:00:00",Organic,1.390000000,5183.00,355.00,100.00,0.00,4649.00,4220.00,429.00,0.00,79.00
Syracuse,Weekly,"2021-01-17 00:00:00",Organic,1.440000000,5569.00,286.00,154.00,0.00,4984.00,4596.00,388.00,0.00,146.00
Syracuse,Weekly,"2021-01-10 00:00:00",Organic,1.390000000,7146.00,338.00,176.00,0.00,6507.00,6102.00,404.00,0.00,124.00
Syracuse,Weekly,"2021-01-04 00:00:00",Organic,1.400000000,3951.00,265.00,161.00,0.00,3450.00,3096.00,354.00,0.00,75.00
Tampa,Weekly,"2021-01-24 00:00:00",Organic,0.920000000,16805.00,176.00,0.00,0.00,16628.00,16628.00,0.00,0.00,0.00
Tampa,Weekly,"2021-01-17 00:00:00",Organic,0.920000000,17587.00,122.00,0.00,0.00,17465.00,17465.00,0.00,0.00,0.00
Tampa,Weekly,"2021-01-10 00:00:00",Organic,0.900000000,17654.00,111.00,0.00,0.00,17543.00,17539.00,3.00,0.00,0.00
Tampa,Weekly,"2021-01-04 00:00:00",Organic,0.880000000,16434.00,128.00,0.00,0.00,16306.00,16306.00,0.00,0.00,0.00
"Total U.S.",Weekly,"2021-01-24 00:00:00",Organic,1.330000000,2521304.00,102266.00,155918.00,6069.00,1535483.00,1105120.00,404877.00,25486.00,721568.00
"Total U.S.",Weekly,"2021-01-17 00:00:00",Organic,1.390000000,2440237.00,114849.00,157575.00,22490.00,1463853.00,1051558.00,378401.00,33895.00,681469.00
"Total U.S.",Weekly,"2021-01-10 00:00:00",Organic,1.310000000,2641720.00,100357.00,164498.00,107010.00,1606969.00,1145421.00,429380.00,32168.00,662887.00
"Total U.S.",Weekly,"2021-01-04 00:00:00",Organic,1.290000000,2224399.00,90895.00,182971.00,3877.00,1305915.00,903320.00,376239.00,26355.00,640741.00
West,Weekly,"2021-01-24 00:00:00",Organic,1.360000000,442117.00,17900.00,36429.00,1314.00,170847.00,72387.00,98460.00,0.00,215628.00
West,Weekly,"2021-01-17 00:00:00",Organic,1.370000000,465675.00,20776.00,44625.00,3910.00,172910.00,83266.00,89644.00,0.00,223454.00
West,Weekly,"2021-01-10 00:00:00",Organic,1.320000000,488907.00,22236.00,48278.00,21374.00,174212.00,82613.00,91599.00,0.00,222807.00
West,Weekly,"2021-01-04 00:00:00",Organic,1.280000000,470071.00,19637.00,60289.00,969.00,154520.00,78408.00,76112.00,0.00,234656.00
"West Tex/New Mexico",Weekly,"2021-01-24 00:00:00",Organic,1.380000000,28258.00,750.00,689.00,3163.00,12845.00,9943.00,2902.00,0.00,10810.00
"West Tex/New Mexico",Weekly,"2021-01-17 00:00:00",Organic,1.380000000,53780.00,1796.00,1658.00,10501.00,23760.00,20286.00,3475.00,0.00,16064.00
"West Tex/New Mexico",Weekly,"2021-01-10 00:00:00",Organic,0.980000000,114338.00,1219.00,7524.00,53394.00,16838.00,14003.00,2835.00,0.00,35362.00
"West Tex/New Mexico",Weekly,"2021-01-04 00:00:00",Organic,1.130000000,34604.00,878.00,670.00,2174.00,20008.00,17859.00,2149.00,0.00,10875.00
